p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.347623761053e-287,-0.329736597632321,0.985,0.992,2.03684721753345e-282,1,MT-ND2
7.5654598256175e-286,-0.36455059452309,0.13,0.504,1.64851369600205e-281,1,ACAT2
8.26292753586576e-286,-0.45410940909939,0.376,0.721,1.80049191006515e-281,1,LSM4
2.54407375325967e-284,-0.416217262505988,0.75,0.899,5.54353670835283e-280,1,PSME2
1.63174626987637e-283,-0.607954305955197,0.64,0.829,3.5555751220606e-279,1,HSPD1
6.28297373667496e-273,-0.393603031121652,0.23,0.622,1.36905997722147e-268,1,BOLA3
7.02388120948541e-270,-0.496301392469749,0.212,0.572,1.53050371554687e-265,1,GPI
5.52521274016742e-268,-0.484743862080038,0.588,0.833,1.20394385608248e-263,1,PRDX1
3.41890337494193e-261,-0.36991901024096,0.18,0.553,7.44979045399846e-257,1,SMS
1.3168978836279e-259,-0.343398712905691,0.145,0.508,2.86952048842519e-255,1,PGP
2.01407566486476e-259,-0.38216531139849,0.19,0.562,4.38867087374031e-255,1,DDX39A
1.20989991853689e-256,-0.482337737802157,0.393,0.718,2.63637192249188e-252,1,TPM4
1.47823410346086e-254,-0.746889066628956,0.199,0.524,3.22107211144122e-250,1,HLA-DRA
3.90569387263654e-253,-0.341815569667586,0.163,0.53,8.51050694847502e-249,1,EXOSC8
4.37404585313293e-253,-0.732668839786281,0.206,0.52,9.53104591397666e-249,1,IL2RA
8.61537997718508e-252,-1.45027716556556,0.296,0.576,1.87729129702863e-247,1,GZMB
2.34334902289193e-247,-0.361348205309535,0.823,0.911,5.10615752088151e-243,1,ATP5MC3
3.73894657780427e-246,-0.405232417853705,0.283,0.645,8.14716459303551e-242,1,FDPS
2.14743481655229e-245,-0.295711353004585,0.962,0.978,4.67926046526744e-241,1,ARPC2
1.94169129823645e-244,-0.398864954668638,0.392,0.728,4.23094533885722e-240,1,PSMB2
1.73566708869143e-237,-0.337650820174792,0.187,0.55,3.78201858625864e-233,1,SSRP1
3.31874649690952e-234,-0.392039287471405,0.531,0.808,7.23154861676585e-230,1,SRSF7
8.27805575915674e-234,-0.45399894913129,0.195,0.534,1.80378834992025e-229,1,ANXA1
7.63698835149442e-233,-0.563037519164614,0.191,0.513,1.66409976179063e-228,1,DDIT4
3.03318687085279e-232,-0.377647263105906,0.198,0.541,6.60931419158822e-228,1,PAICS
2.52510680066913e-226,-0.403074343497927,0.55,0.8,5.50220771865803e-222,1,VDAC1
6.78283213452292e-226,-0.488192272450276,0.419,0.736,1.47797912211254e-221,1,SRGN
1.18039370289211e-225,-0.311892404364593,0.874,0.943,2.5720778786019e-221,1,PSMA7
2.59081391956019e-225,-0.352851749062922,0.218,0.567,5.64538353072165e-221,1,STIP1
4.8410075058205e-224,-0.360342341937347,0.552,0.81,1.05485553551829e-219,1,HNRNPD
1.61884225136016e-222,-0.387051822680849,0.382,0.71,3.52745726571378e-218,1,TXNDC17
3.45677188323721e-222,-0.368342112303078,0.347,0.694,7.53230593357389e-218,1,VDAC3
5.968728275039e-218,-0.373972231327517,0.391,0.723,1.300585891131e-213,1,PDIA6
1.04600449775225e-217,-0.360525289338165,0.826,0.917,2.27924380060216e-213,1,PA2G4
2.12594739905356e-217,-0.46249677167796,0.696,0.859,4.63243938253772e-213,1,HSPE1
8.2312783638952e-215,-0.364751253133777,0.394,0.719,1.79359555549276e-210,1,PSMA3
3.84314240594788e-214,-0.562494244752828,0.292,0.597,8.37420730256043e-210,1,FAM162A
2.86519039403575e-207,-0.5415655144981,0.539,0.816,6.24324986860391e-203,1,CD74
3.43439356331691e-207,-0.345960179646494,0.51,0.787,7.48354357446754e-203,1,PSMB3
8.44150120290352e-206,-0.334835266786733,0.24,0.583,1.83940311211268e-201,1,SNRPA1
1.78343578852699e-205,-0.310158569217474,0.813,0.923,3.8861065832003e-201,1,NAP1L1
2.82040557157026e-205,-0.345372583413806,0.291,0.631,6.1456637404516e-201,1,PRDX3
1.07302813340025e-201,-0.273230626734297,0.172,0.506,2.33812830267915e-197,1,UQCRC1
1.42881433046338e-200,-0.349463932841363,0.241,0.57,3.1133864260797e-196,1,HMGA1
7.52977210301914e-200,-0.363617794903575,0.425,0.727,1.64073734124787e-195,1,SRSF2
5.9872681140543e-199,-0.42760929392318,0.714,0.843,1.30462572205243e-194,1,C12orf75
6.09811154857082e-199,-0.334925921738544,0.577,0.815,1.32877850643358e-194,1,UQCRQ
2.59678446831225e-198,-0.318621429187973,0.201,0.528,5.6583933564524e-194,1,DCTPP1
6.50736830769831e-198,-0.350392402129184,0.333,0.662,1.41795555424746e-193,1,KPNB1
7.00702561820438e-196,-0.397638812733533,0.405,0.697,1.52683088220673e-191,1,CYCS
4.22076748282983e-193,-0.297876738897669,0.217,0.557,9.1970523450862e-189,1,PSMD14
1.91866824746328e-184,-0.329503413756698,0.402,0.713,4.18077811122248e-180,1,GSTO1
2.22041589650211e-183,-0.339351721884295,0.242,0.559,4.8382862384781e-179,1,SDF2L1
1.21472669421018e-179,-0.312768942535031,0.213,0.523,2.64688946668399e-175,1,HSPH1
7.08675002127378e-179,-0.318727348650211,0.599,0.819,1.54420282963556e-174,1,PSMA4
1.83251422772714e-178,-0.350708376712738,0.389,0.691,3.99304850221745e-174,1,SLIRP
5.48661894510125e-178,-0.270473365031279,0.909,0.957,1.19553426813756e-173,1,H3F3B
1.35792182126435e-177,-0.280332365463447,0.211,0.531,2.95891164853501e-173,1,PSMD1
2.16094822020801e-177,-0.302097942923595,0.259,0.582,4.70870617183324e-173,1,TCP1
2.19537494685347e-172,-0.333704850718469,0.228,0.534,4.78372200919371e-168,1,RBPJ
2.75929989327199e-171,-0.289120857655839,0.262,0.588,6.01251446743967e-167,1,POLR2H
6.00985045000979e-169,-0.337413355678283,0.424,0.707,1.30954641305713e-164,1,CCT6A
1.54512223735334e-168,-0.359629035259415,0.697,0.867,3.36682135519293e-164,1,CALM2
6.04052545827717e-167,-0.302163268141779,0.499,0.777,1.3162304973586e-162,1,RBM8A
1.58949865330378e-166,-0.295952166856631,0.614,0.824,3.46351756554893e-162,1,SNRPE
2.6769346776373e-164,-0.289760899085274,0.708,0.853,5.83304066257167e-160,1,POMP
2.04158432763813e-163,-0.285507080765618,0.593,0.818,4.44861224992349e-159,1,ERH
5.23731945760122e-161,-0.358931001859875,0.423,0.68,1.14121190981131e-156,1,NME1
1.83171668433331e-160,-0.254778236645553,0.23,0.543,3.99131065516229e-156,1,GGCT
7.88036956929477e-157,-0.316739003385708,0.455,0.737,1.71713252914933e-152,1,DNAJA1
1.81129893312115e-156,-0.306095384558325,0.428,0.722,3.94682037527099e-152,1,SFPQ
2.09839956989932e-155,-0.391304385517293,0.958,0.961,4.57241266281061e-151,1,HSP90AB1
2.26499604673563e-153,-0.293152049961489,0.358,0.67,4.93542638583693e-149,1,ARPC5L
3.79761666423359e-153,-0.272847777264652,0.665,0.849,8.27500671136499e-149,1,XRCC5
2.19605793505647e-150,-0.278900890138593,0.374,0.686,4.78521024048806e-146,1,P4HB
3.71058012053877e-150,-0.278589563600056,0.371,0.68,8.08535408265399e-146,1,ELOC
4.50954815319006e-148,-0.255675940469532,0.311,0.63,9.82630542580114e-144,1,UBE2M
2.59096027884781e-147,-0.26079894223485,0.257,0.558,5.64570244760939e-143,1,MANF
3.73713854847034e-147,-0.282257751098951,0.499,0.759,8.14322489711687e-143,1,YWHAE
1.98059389640605e-142,-0.256886333606688,0.689,0.852,4.31571410026878e-138,1,HNRNPC
8.57969639124664e-140,-0.301464227642685,0.261,0.553,1.86951584365264e-135,1,PLIN2
2.3366186750243e-138,-0.305440650441379,0.674,0.858,5.09149209287795e-134,1,HSP90B1
3.73764606502535e-136,-0.27524245312165,0.381,0.667,8.14433077569024e-132,1,PSMD7
1.72404702006371e-135,-0.423086101124839,0.383,0.625,3.75669845671883e-131,1,HIST1H1D
2.38901470747614e-135,-0.292264404842142,0.453,0.716,5.2056630475905e-131,1,CCT5
5.51624208327591e-134,-0.262154328746758,0.632,0.831,1.20198914994582e-129,1,NDUFV2
1.55822906425067e-133,-0.257508356678909,0.558,0.79,3.3953811310022e-129,1,SNRPD3
2.9161819925125e-131,-0.274238960421316,0.553,0.783,6.35436056168475e-127,1,EIF1AX
2.19507964335438e-126,-0.288049004838458,0.824,0.919,4.78307854286918e-122,1,NCL
2.06655755701388e-122,-0.258714116500579,0.561,0.776,4.50302891673325e-118,1,EIF5A
1.26176479851667e-105,-0.349788679174696,0.896,0.925,2.74938549596782e-101,1,LGALS1
2.93167988399461e-97,-0.338366680226647,0.458,0.671,6.38813046722426e-93,1,RPL22L1
9.63844165542191e-96,0.317359244065931,0.548,0.433,2.10021643671643e-91,1,IL7R
2.49181512224402e-72,0.350472479650616,0.542,0.495,5.42966515136973e-68,1,CCR7
8.93390399784247e-65,-0.642639578380066,0.467,0.678,1.94669768112987e-60,1,MT2A
2.43095660879864e-44,-0.376479079073247,0.634,0.733,5.29705445057224e-40,1,NKG7
0,0.655531310386325,0.683,0.312,0,2,KLF2
0,0.387865237744198,1,0.997,0,2,RPL7
0,0.375912046776674,1,0.993,0,2,RPL23
0,0.33091420311646,1,1,0,2,RPS2
0,0.292369989184428,1,0.999,0,2,RPL37A
0,-0.295607621115113,1,0.999,0,2,MT-ATP6
0,-0.350311525983403,0.951,0.991,0,2,EIF1
0,-0.391537646139522,1,1,0,2,MT-CO3
0,-0.39507068830782,0.973,0.986,0,2,PPIA
0,-0.434364904137851,1,1,0,2,PTMA
0,-0.469312657732266,0.618,0.861,0,2,POMP
0,-0.471271750541614,0.133,0.533,0,2,DTYMK
0,-0.486553051961141,0.678,0.875,0,2,SNRPG
0,-0.487266754265086,0.613,0.858,0,2,HNRNPC
0,-0.491516631981438,0.761,0.916,0,2,ATP5MC3
0,-0.50073603478423,0.54,0.817,0,2,SNRPB
0,-0.505222877053448,0.849,0.961,0,2,OAZ1
0,-0.51892654621047,0.906,0.966,0,2,CHCHD2
0,-0.519960163547779,0.545,0.812,0,2,SNRPD1
0,-0.523408544131334,0.164,0.589,0,2,PHF19
0,-0.530387901883797,0.661,0.861,0,2,TXN
0,-0.534056700164094,0.119,0.544,0,2,MAD2L1
0,-0.535697083774292,0.985,0.996,0,2,ACTG1
0,-0.547301886789747,0.151,0.541,0,2,CKS1B
0,-0.549464163407261,0.116,0.534,0,2,MCM3
0,-0.551303762695853,0.851,0.962,0,2,H3F3B
0,-0.553121641606133,0.078,0.513,0,2,ITM2C
0,-0.566964610049949,0.822,0.913,0,2,RAN
0,-0.569715713973275,0.237,0.659,0,2,SMC1A
0,-0.578129854927919,0.629,0.86,0,2,GSTP1
0,-0.583373943122881,0.093,0.531,0,2,HELLS
0,-0.59664318681675,0.468,0.761,0,2,HNRNPAB
0,-0.602876114620358,0.077,0.512,0,2,UBE2T
0,-0.611830232709265,0.926,0.981,0,2,ARPC2
0,-0.63920137811292,0.803,0.928,0,2,HNRNPA2B1
0,-0.639450880937177,0.845,0.96,0,2,VIM
0,-0.656151182019728,0.338,0.721,0,2,ANP32E
0,-0.663631003708186,0.476,0.812,0,2,NUCKS1
0,-0.663944604906628,0.374,0.752,0,2,NASP
0,-0.667514003932352,0.955,0.97,0,2,HSP90AA1
0,-0.669307650325249,0.47,0.779,0,2,RANBP1
0,-0.6735870549578,0.185,0.596,0,2,TNFSF10
0,-0.675470329205495,0.119,0.538,0,2,ANXA1
0,-0.68035069546044,0.076,0.539,0,2,ATAD2
0,-0.687975230708479,0.999,1,0,2,ACTB
0,-0.709350525257243,0.303,0.724,0,2,TPM4
0,-0.73900739984406,0.918,0.961,0,2,ENO1
0,-0.751946750368888,0.226,0.602,0,2,FABP5
0,-0.795400845108892,0.198,0.655,0,2,LINC01871
0,-0.806580503967059,0.127,0.603,0,2,SMC4
0,-0.831727648232901,0.22,0.603,0,2,UBE2S
0,-0.832139088881152,0.144,0.618,0,2,PCNA
0,-0.836557276108676,0.197,0.579,0,2,TUBB4B
0,-0.863649891661881,0.609,0.861,0,2,PGK1
0,-0.871783808309398,0.939,0.981,0,2,HMGB1
0,-0.875103033907776,0.116,0.577,0,2,PTTG1
0,-0.909551784013968,0.356,0.757,0,2,PGAM1
0,-1.00039231298404,0.738,0.909,0,2,TPI1
0,-1.02517065636004,0.425,0.789,0,2,PKM
0,-1.02726590632956,0.049,0.517,0,2,NUSAP1
0,-1.05603332657436,0.741,0.911,0,2,LDHA
0,-1.06010916259155,0.359,0.756,0,2,DUT
0,-1.16784566673423,0.693,0.896,0,2,H2AFZ
0,-1.17545732635385,0.407,0.873,0,2,C12orf75
0,-1.17932004573086,0.084,0.651,0,2,TYMS
0,-1.18084192384802,0.083,0.654,0,2,PCLAF
0,-1.21270558162999,0.07,0.54,0,2,CENPF
0,-1.22504322305659,0.982,0.996,0,2,GAPDH
0,-1.24433192947578,0.077,0.538,0,2,TOP2A
0,-1.27055024102854,0.403,0.782,0,2,TUBB
0,-1.28771603359777,0.558,0.872,0,2,HMGN2
0,-1.3902923603002,0.061,0.617,0,2,MKI67
0,-1.49075105303508,0.315,0.767,0,2,HMGB2
0,-1.51226381734669,0.618,0.952,0,2,LGALS1
0,-1.53981584910553,0.309,0.774,0,2,STMN1
0,-1.57420479167966,0.49,0.822,0,2,TUBA1B
0,-1.589747101366,0.126,0.782,0,2,NKG7
0,-1.85765727334511,0.511,0.792,0,2,HIST1H4C
0,-2.0622932211583,0.128,0.751,0,2,CCL5
0,-2.38223591387908,0.409,0.837,0,2,GZMA
6.32774023124236e-307,-1.62844357326289,0.251,0.578,1.37881459638771e-302,2,GZMB
4.88037951133e-301,-0.478680193671465,0.227,0.636,1.06343469551881e-296,2,EBP
1.51387039924405e-284,-0.472256710036923,0.366,0.719,3.29872359995279e-280,2,LSM4
4.23184202534003e-281,-0.584745419662981,0.391,0.736,9.22118377321592e-277,2,SRGN
3.44598044049196e-279,-0.794103393748447,0.177,0.52,7.50879137983199e-275,2,IL2RA
1.28210015059927e-277,-0.662980208428257,0.159,0.513,2.79369622815581e-273,2,DDIT4
2.04077797367305e-276,-0.514383123247212,0.302,0.673,4.44685520463358e-272,2,RAD21
2.94693390507573e-274,-0.415100468669647,0.69,0.877,6.42136897916001e-270,2,SRSF3
8.69412088078953e-273,-0.434904737501286,0.178,0.56,1.89444893992404e-268,2,DDX39A
2.05378768364435e-270,-0.52024433506308,0.465,0.764,4.47520336266104e-266,2,JPT1
3.41663757972556e-269,-0.521351907454898,0.199,0.57,7.444853286222e-265,2,GPI
4.83028538239321e-266,-0.410661460536129,0.167,0.551,1.05251918482348e-261,2,SMS
1.36302232847705e-265,-0.450743745656274,0.262,0.644,2.97002565375148e-261,2,FDPS
3.00859252970971e-265,-0.458579922272447,0.442,0.765,6.55572312223745e-261,2,COX17
3.06421325843227e-261,-0.628461664895563,0.296,0.632,6.67692069012392e-257,2,HIST1H1D
1.03630958937908e-259,-0.416360338902541,0.496,0.794,2.25811859525703e-255,2,SNRPD3
2.37508789367803e-256,-0.444522469750688,0.383,0.726,5.17531652032442e-252,2,PSMB2
7.89195985123659e-255,-0.442261239630021,0.362,0.709,1.71965805158445e-250,2,TXNDC17
8.49706696931564e-252,-0.521359678280667,0.163,0.51,1.85151089261388e-247,2,TUBA1C
4.88574154083498e-251,-0.407560525377313,0.664,0.854,1.06460308174794e-246,2,PTGES3
3.60678264485431e-250,-0.582804143323096,0.223,0.561,7.85917938313754e-246,2,CKS2
1.95511352264819e-249,-0.38305479794484,0.174,0.548,4.26019236585041e-245,2,SSRP1
1.35295104556418e-244,-0.411018956436319,0.213,0.583,2.94808032828435e-240,2,SNRPA1
6.41426801665825e-236,-0.39004795367199,0.829,0.916,1.39766900082983e-231,2,PA2G4
3.46918508922764e-235,-0.379380575756868,0.195,0.563,7.55935430942704e-231,2,ALYREF
3.5023961524416e-232,-0.409650003253865,0.368,0.714,7.63172121617026e-228,2,GSTO1
1.0898433720819e-231,-0.444219638130134,0.273,0.626,2.37476870776646e-227,2,TUBA4A
4.32313860846191e-229,-0.42720644238769,0.248,0.603,9.4201190278385e-225,2,SLBP
8.42737133011619e-229,-0.434119718982814,0.554,0.797,1.83632421283232e-224,2,VDAC1
1.8768003894282e-220,-0.380620727700776,0.585,0.834,4.08954804856405e-216,2,NDUFV2
3.0209286509301e-219,-0.37600369283787,0.563,0.814,6.58260353037669e-215,2,UQCRQ
9.05021450055966e-219,-0.322494946150056,0.879,0.942,1.97204173967195e-214,2,PSMA7
1.63327308484696e-218,-0.681243756077603,0.2,0.521,3.55890205188153e-214,2,HLA-DRA
5.74878889427127e-216,0.508192826087817,0.629,0.426,1.25266110006171e-211,2,IL7R
1.58614083492704e-212,-0.379913964033607,0.584,0.818,3.45620087930602e-208,2,PSMA4
1.90695911134634e-208,-0.317503062888872,0.742,0.901,4.15526390362368e-204,2,PARK7
8.121545325335e-207,-0.404967754216869,0.756,0.884,1.7696847263905e-202,2,MIF
7.05239444554119e-206,-0.333473566651213,0.663,0.86,1.53671674968343e-201,2,COX5A
5.86691324606988e-205,-0.298330394701695,0.945,0.962,1.27840039631863e-200,2,YBX1
9.71654672918121e-205,-0.381676165815602,0.489,0.786,2.11723553228859e-200,2,LRRFIP1
