p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.70051678881457e-282,0.357903960701437,0.999,0.856,5.88442608282695e-278,1,SSBP1
5.59557784307224e-282,0.256423661706727,0.84,0.346,1.21927641200544e-277,1,RNASEH1
5.48392917632282e-281,0.388843319929098,0.98,0.591,1.19494816752074e-276,1,PSMD1
1.37080484931331e-280,0.280001635411065,0.901,0.396,2.98698376665371e-276,1,LRRC59
2.6229499831069e-279,0.342153802033784,1,0.903,5.71540801318993e-275,1,SNRPF
6.60148914194793e-279,0.384501389526959,0.999,0.792,1.43846448403045e-274,1,CACYBP
3.71783127386709e-278,0.281575476458035,0.891,0.397,8.10115434575639e-274,1,RARS
2.21189378954479e-276,0.293536924262194,0.91,0.426,4.8197165674181e-272,1,UTP11
6.82785643712561e-273,0.266133940333393,0.876,0.383,1.48778991764967e-268,1,KPNA3
1.30910193013372e-272,0.288818345014536,0.859,0.381,2.85253310576137e-268,1,NOC3L
5.03915997980521e-272,0.355470093014288,0.972,0.56,1.09803295959955e-267,1,PGP
2.6334062827496e-269,0.328266239420999,0.941,0.495,5.73819229011137e-265,1,MRPS23
4.25952257528278e-269,0.375237504145765,0.999,0.848,9.28149969154119e-265,1,SRSF7
2.67096026492596e-267,0.389610281571892,0.997,0.753,5.82002241727368e-263,1,CHCHD10
2.88753896502007e-267,0.303288570252868,0.938,0.465,6.29194740477874e-263,1,IMP4
5.47683507619156e-266,0.272225042258213,0.867,0.387,1.19340236310214e-261,1,IPO7
3.14202032254199e-265,0.265072003179257,0.851,0.37,6.846462282819e-261,1,IPO5
3.57275530826103e-265,0.275713691078708,0.919,0.434,7.78503381670078e-261,1,SNHG15
8.94017790865811e-265,0.371452844816508,0.993,0.676,1.9480647662966e-260,1,ILF2
1.00436237478017e-263,0.343475621837986,1,0.889,2.18850561464599e-259,1,EIF2S2
2.39603978411764e-263,0.491710277885616,0.991,0.679,5.22097068959234e-259,1,HSPA5
1.4723679854616e-262,0.331995333064237,0.957,0.514,3.20828984032082e-258,1,CDK4
8.27452034529286e-262,0.372080836502015,0.999,0.829,1.80301798323931e-257,1,NASP
2.9257755338961e-261,0.382640713513068,0.997,0.742,6.3752648883596e-257,1,PSMD7
1.07818379039448e-260,0.358476842895502,0.999,0.767,2.34936247926958e-256,1,PHB2
1.12849452033022e-260,0.351788387239953,1,0.887,2.45898955979956e-256,1,VDAC1
3.31293363299982e-260,0.368588944525722,0.998,0.752,7.21888238630661e-256,1,RBM17
3.48286495034553e-260,0.345358613310095,0.924,0.467,7.58916272680291e-256,1,PPID
1.33606771504401e-259,0.341309597104806,1,0.876,2.91129155108089e-255,1,XRCC5
1.18809508676362e-257,0.351641305446752,0.978,0.592,2.58885919405794e-253,1,SRPK1
1.39629941502425e-257,0.358944536710858,0.999,0.775,3.04253642533785e-253,1,NHP2
2.82024416645805e-257,0.342418663025477,0.971,0.569,6.14531203871209e-253,1,STRAP
4.04893400254623e-257,0.280773006981121,0.899,0.418,8.82262719154823e-253,1,IARS
1.8037343896663e-256,0.272947060252874,0.895,0.412,3.93033723508287e-252,1,RPF2
5.38740361574891e-256,0.343768534523244,0.97,0.564,1.17391524787169e-251,1,PSMD12
8.24935511015711e-256,0.359368465451201,0.997,0.783,1.79753447850324e-251,1,MRPL20
5.40826549420782e-255,0.376524986747267,0.992,0.715,1.17846105118788e-250,1,SSB
5.77181992579892e-255,0.292719802833658,0.916,0.454,1.25767956183158e-250,1,MRPL15
8.12031516621668e-255,0.363418693249538,0.995,0.719,1.76941667471862e-250,1,ARPC5L
1.29289917228081e-254,0.29381767663245,0.914,0.44,2.81722729639988e-250,1,HACD3
2.43272142861728e-254,0.354729180920839,0.998,0.776,5.30089999295705e-250,1,TUFM
8.84535096858029e-254,0.338164002265167,0.965,0.562,1.92740197605364e-249,1,TFAM
6.26946567333068e-252,0.369149170267402,0.994,0.721,1.36611657021876e-247,1,PRDX3
1.39242946846607e-251,0.312048822083852,0.941,0.492,3.03410381178757e-247,1,UCHL5
7.856730498718e-251,0.359613260559093,0.99,0.683,1.71198157567065e-246,1,STOML2
1.40913448374239e-250,0.388920809861848,0.978,0.601,3.07050404007467e-246,1,MANF
1.46454021375855e-250,0.329596054490238,1,0.904,3.19123312577989e-246,1,SNRPG
1.99993309621617e-250,0.312803312522731,0.936,0.494,4.35785421665503e-246,1,DDX1
1.7511354123423e-249,0.354385270860224,0.986,0.632,3.81572406349386e-245,1,NAA10
4.08771728222074e-249,0.354177854220219,0.997,0.748,8.907135957959e-245,1,NOL7
1.06227135029225e-247,0.387126914858433,0.998,0.767,2.3146892722868e-243,1,DNAJA1
4.3638838834394e-246,0.325079028627896,0.906,0.458,9.50890298201444e-242,1,GALM
5.50397959366374e-246,0.347090765359932,0.985,0.622,1.19931715345933e-241,1,GGCT
6.49117704918431e-245,0.262316361277442,0.885,0.409,1.41442747901726e-240,1,DESI1
5.46825472340378e-244,0.34570254600164,0.983,0.613,1.19153270422968e-239,1,ATP1B3
3.89659637794952e-243,0.342632966322564,0.981,0.598,8.49068350755201e-239,1,PSMD11
4.52149656824731e-243,0.337148145533327,0.944,0.518,9.85234102221089e-239,1,MRPS26
7.04025485807023e-243,0.256679563977826,0.869,0.404,1.5340715335735e-238,1,NTMT1
7.30415579661423e-243,0.275824338827036,0.903,0.431,1.59157554808224e-238,1,NDUFAF2
1.76463905381739e-242,0.306320061974085,0.967,0.506,3.8451484982681e-238,1,GINS2
5.77496444832192e-242,0.261064815270545,0.915,0.441,1.25836475328935e-237,1,PNP
9.97070232327454e-242,0.366901710360471,0.974,0.569,2.17261603624152e-237,1,SDF2L1
1.188322655144e-241,0.287721138203602,0.916,0.46,2.58935506555877e-237,1,BZW2
4.46720824439292e-241,0.374402662977669,0.999,0.857,9.73404676453217e-237,1,CALR
1.26855237190469e-240,0.352004372999068,0.991,0.715,2.76417561838032e-236,1,UBE2M
3.99062177188653e-240,0.250043858457588,0.866,0.386,8.69556484094076e-236,1,SLC1A5
4.92376803385353e-240,0.339473153359867,0.973,0.608,1.07288905457668e-235,1,COA4
1.04301179010664e-239,0.329295207065177,0.974,0.6,2.27272269064237e-235,1,EMC6
2.40218432226507e-239,0.271287379562324,0.901,0.438,5.23435963821559e-235,1,MRPS25
2.58838629539039e-239,0.354830166027564,0.954,0.539,5.64009373765567e-235,1,FDX1
6.57018121623309e-239,0.260750715156986,0.908,0.431,1.43164248701719e-234,1,ORC6
1.13562355312056e-238,0.267939136729344,0.897,0.43,2.47452372224971e-234,1,AK6
2.47022439833873e-238,0.2865408481493,0.915,0.461,5.38261896398009e-234,1,LRPPRC
8.60798933672361e-238,0.297421399270403,0.948,0.514,1.87568087647208e-233,1,NAE1
