day,mouse_number,car,length,width,,Area1,Notes,,,,,,
22,110-1,NT,10.9,5.7,,177.0705,,,,,,,
22,110-2,NT,6.3,3.73,,43.825635,,,,,,,
22,110-3,NT,8.34,4.24,,74.966592,,,,,,,
22,110-4,NT,4.94,4.15,,42.539575,,,,,,,
22,110-5,NT,9.03,4.74,,101.441214,,,,,,,
22,111-1,Unt,8.97,5.84,,152.963616,,,,,,,
22,111-2,Unt,6.29,5.35,,90.0177625,,,,,,,
22,111-3,Unt,8.71,4.44,,85.852728,,,,,,,
22,111-4,Unt,9.96,4.69,,109.540578,,,,,,,
22,111-5,Unt,7.1,4.12,,60.25912,,,,,,,
22,112-1,CD40,8.62,4.27,,78.583799,,,,,,,
22,112-2,CD40,9.7,6.12,,181.65384,,,,,,,
22,112-3,CD40,8.26,4.19,,72.506693,,,,,,,
22,112-4,CD40,6.87,5.37,,99.0547515,,,,,,,
22,804-1,BAFFR,9.38,4.23,,83.917701,,,,,,,
22,804-2,BAFFR,6.55,3.86,,48.79619,,,,,,,
22,804-3,BAFFR,4.83,3.35,,27.1023375,,,,,,,
22,804-4,BAFFR,7.48,4.79,,85.810934,,,,,,,
22,804-5,BAFFR,5.84,3.73,,40.625668,,,,,,,
22,805-1,41BB,6.46,3.51,,39.793923,,,,,,,
22,805-2,CD40-CD28,3.54,2.63,,12.242913,,,,,,,
22,805-3,CD28-41BB,4.01,2.89,,16.7459605,,,,,,,
22,805-4,CD28-41BB,0,0,,0,,,,,,,
22,806-1,41BB,8.26,4.74,,92.791188,,,,,,,
22,806-2,41BB,5.34,3.63,,35.182323,,,,,,,
22,806-3,41BB,9.56,5.14,,126.285688,,,,,,,
22,806-4,41BB,7.58,4.7,,83.7211,,,,,,,
22,807-1,CD28,5.54,3.91,,42.348037,,,,,,,
22,807-2,CD28,5.25,2.83,,21.0233625,,,,,,,
22,807-3,CD28,0,0,,0,,,,,,,
22,807-4,CD28,4.69,3.08,,22.245608,,,,,,,
22,808-1,CD28-41BB,9.28,3.95,,72.3956,,,,,,,
22,808-2,CD28-41BB,3.95,2.05,,8.2999375,,,,,,,
22,808-3,CD28-41BB,0,0,,0,,,,,,,
22,808-4,41BB,7.96,3.41,,46.279838,,,,,,,
22,809-1,BAFFR-41BB,5.24,2.95,,22.80055,,,,,,,
