day,cage,mouse,car,length,width,height,notes,Area,Area2
18,208,3,41BB,7.90,7.60,3.20,,192.128,456.304
18,208,4,CD28,7.60,7.70,3.10,,181.412,450.604
18,208,5,CD28,14.20,7.40,4.50,,472.86,777.592
18,209,1,Baffr,13.50,8.90,7.00,,841.05,1069.335
18,209,2,Baffr,22.40,20.20,14.70,,6651.456,9140.096
18,209,3,Baffr,17.10,11.50,10.90,,2143.485,2261.475
18,209,4,Baffr,20.30,17.90,12.08,,4389.5096,6504.323
18,209,5,Baffr,17.70,12.40,7.70,,1689.996,2721.552
18,210,1,CD28,14.11,15.00,12.08,,2556.732,3174.75
18,210,2,CD28,6.55,5.66,2.68,remission?,99.35564,209.83318
18,210,3,CD28,7.80,5.70,3.20,,142.272,253.422
18,210,4,CD28,5.40,5.00,1.90,remission?,51.3,135
18,210,5,CD28,12.64,6.52,4.25,,350.2544,537.331456
18,211,1,Zeta,21.80,18.30,12.60,,5026.644,7300.602
18,211,2,Zeta,17.20,13.10,10.57,,2381.6324,2951.692
18,211,3,Zeta,16.90,13.90,9.70,,2278.627,3265.249
18,211,4,CD40,23.00,15.00,12.77,,4405.65,5175
18,211,5,CD40,20.90,13.40,12.24,,3427.9344,3752.804
18,212,1,KLRG1,11.90,12.70,7.50,,1133.475,1919.351
18,212,2,KLRG1,19.30,12.86,12.54,,3112.40292,3191.82628
18,212,3,KLRG1,16.10,15.40,13.50,,3347.19,3818.276
18,212,4,KLRG1,6.14,8.38,4.00,,205.8128,431.177816
18,212,5,KLRG1,16.50,17.00,12.43,,3486.615,4768.5
21,253,1,Taci,19.40,17.70,12.24,,4202.9712,6077.826
21,253,2,Taci,,,,,,
21,253,3,Taci,22.10,15.70,11.75,,4076.8975,5447.429
21,253,4,Taci,23.30,24.80,13.40,,7743.056,14330.432
21,253,5,Taci,,,,,,
21,254,1,Zeta,24.06,18.08,7.60,,3306.03648,7864.886784
21,254,2,Zeta,18.52,19.85,11.79,,4334.26338,7297.2967
21,254,3,Zeta,16.00,16.00,7.29,,1866.24,4096
21,254,4,Zeta,17.70,14.90,9.43,,2486.9739,3929.577
21,254,5,Zeta,21.13,14.70,10.89,,3382.55379,4565.9817
21,201,1,Unt,,,,,,
21,201,2,Unt,,,,,,
21,201,3,Unt,,,,,,
21,201,4,Unt,,,,,,
21,202,1,PBS,18.42,13.17,8.80,,2134.80432,3194.928738
21,202,2,PBS,,,,,,
21,202,3,PBS,13.58,12.84,8.93,,1557.099096,2238.874848
21,202,4,PBS,19.42,18.87,7.32,,2682.453528,6915.013398
21,202,5,PBS,,,,,,
21,203,1,41BB,,,,,,
21,203,2,41BB,,,,,,
21,203,3,41BB,16.34,11.50,11.30,,2123.383,2160.965
21,203,4,41BB,,,,,,
21,203,5,41BB,17.98,17.34,13.16,,4102.935312,5406.147288
21,204,1,CD40,,,,,,
21,204,2,CD40,15.94,17.00,12.07,,3270.7286,4606.66
21,204,3,CD40,,,,,,
21,204,4,CD40,,,,,,
21,205,1,CD28,11.36,10.34,8.14,,956.143936,1214.561216
21,205,2,Taci,,,,,,
21,205,3,Taci,21.10,21.50,11.20,,5080.88,9753.475
21,205,4,Taci,,,,,,
21,205,5,Taci,17.40,12.60,9.02,,1977.5448,2762.424
21,206,1,Baffr,,,,,,
21,206,2,Baffr,,,,,,
21,206,3,Baffr,,,,,,
21,206,4,Baffr,,,,,,
21,206,5,KLRG1,,,,,,
21,207,1,CD40,,,,,,
21,207,2,CD40,,,,,,
21,207,3,CD40,,,,,,
21,207,4,CD40,,,,,,
21,208,1,41BB,13.60,16.00,8.17,,1777.792,3481.6
21,208,2,41BB,18.43,10.00,8.47,,1561.021,1843
21,208,3,41BB,7.60,10.40,3.40,,268.736,822.016
21,208,4,CD28,6.10,8.90,2.80,,152.012,483.181
21,208,5,CD28,17.50,8.90,5.40,,841.05,1386.175
21,209,1,Baffr,16.50,15.90,7.83,,2054.2005,4171.365
21,209,2,Baffr,,,,,,
21,209,3,Baffr,19.89,15.77,12.68,,3977.276004,4946.501781
21,209,4,Baffr,,,,,,
21,209,5,Baffr,22.50,16.60,11.47,,4284.045,6200.1
21,210,1,CD28,,,,,,
21,210,2,CD28,5.80,5.00,2.15,,62.35,145
21,210,3,CD28,,,,,,
21,210,4,CD28,5.50,4.10,1.62,,36.531,92.455
21,210,5,CD28,,,,,,
21,211,1,Zeta,,,,,,
21,211,2,Zeta,,,,,,
21,211,3,Zeta,,,,,,
21,211,4,CD40,,,,,,
21,211,5,CD40,,,,,,
21,212,1,KLRG1,16.90,17.50,8.15,,2410.3625,5175.625
21,212,2,KLRG1,,,,,,
