p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.13159707689851e-32,-0.283316296997787,0.91,0.882,1.11817500305618e-27,1,DNAJA1
3.749102211232e-31,-0.324697120188944,0.982,0.956,8.16929371827452e-27,1,HSPA8
3.73580482879976e-30,-0.255456136793397,0.813,0.829,8.14031872195467e-26,1,EIF3J
7.21574677361445e-30,-0.302485116494861,0.708,0.752,1.57231122197059e-25,1,HSPH1
4.04648490094942e-29,-0.260528301625615,0.553,0.658,8.81729059916878e-25,1,WDR43
2.87904511728783e-27,0.270074460499606,0.756,0.565,6.27343931057019e-23,1,ARG2
4.62795326039877e-27,-0.289991600768483,0.815,0.803,1.00843101544089e-22,1,SRM
1.42879755267625e-26,-0.258991155830685,0.687,0.725,3.11334986728155e-22,1,MRTO4
1.44819039923606e-24,-0.597499057287538,0.948,0.939,3.15560687993537e-20,1,LTB
4.69826026489776e-24,-0.290196728564614,0.717,0.77,1.02375091172122e-19,1,SEC11C
1.85609831978154e-20,-0.305778838825239,0.886,0.871,4.04443823880398e-16,1,RNF213
2.74012471320236e-15,-0.406859796076683,0.529,0.605,5.97073175006793e-11,1,HLA-DPA1
1.21661233669435e-14,-0.274000061699227,0.545,0.623,2.65099828165698e-10,1,ID2
4.32264853138787e-14,-0.296088919660028,0.74,0.769,9.41905114989417e-10,1,LINC01871
3.79814077287877e-13,-0.30974799113105,0.704,0.712,8.27614874410284e-09,1,HOPX
4.60163189911275e-13,0.529981935039814,0.952,0.875,1.00269559081667e-08,1,MT2A
7.08353196723899e-12,-0.277909374698193,0.573,0.62,1.54350161566138e-07,1,MIR155HG
1.15104712437808e-11,-0.502384877904169,0.583,0.628,2.50813168401983e-07,1,HLA-DRB1
3.9967961067901e-11,-0.558252131978414,0.962,0.947,8.70901871669562e-07,1,CCL5
2.57673041661379e-10,-0.300417605842741,0.988,0.97,5.61469557780146e-06,1,CD74
4.55162149048592e-08,-0.389753245565356,0.678,0.687,0.000991798322776882,1,HLA-DRA
1.72823156551204e-07,-0.311686502825084,0.507,0.535,0.00376581658125072,1,HLA-DPB1
6.28772488871265e-06,-0.273495318582381,0.65,0.611,0.137009525325049,1,CCNB1
9.06214756961594e-245,0.853613069003759,0.991,0.56,1.97464195541931e-240,2,CCNB1
1.13517148076869e-188,0.75090123882627,0.967,0.607,2.47353865659498e-184,2,HMMR
1.99951886188274e-186,0.582760101557886,0.928,0.434,4.3569516000425e-182,2,CDC20
3.62706791619515e-181,0.629997636455749,0.961,0.555,7.90338098938923e-177,2,DLGAP5
5.12009196939004e-174,0.501426321143745,0.817,0.313,1.11566804013009e-169,2,PLK1
1.13607223538084e-163,0.569799814874167,0.948,0.57,2.47550140089484e-159,2,CCNB2
1.28789312907537e-160,0.690051570983438,0.967,0.648,2.80631912825523e-156,2,ASPM
5.42955861208753e-160,0.599016944663471,0.924,0.504,1.18310082157387e-155,2,CENPE
1.41061726001888e-158,0.688095085562603,0.981,0.784,3.07373500958114e-154,2,CKS2
2.67130615733803e-147,0.720642284743707,0.981,0.747,5.82077611683956e-143,2,CENPF
4.79900141424048e-144,0.529060016118734,0.982,0.72,1.045702408163e-139,2,CDKN3
3.55761330851333e-124,0.522642196623391,0.967,0.679,7.75203939925055e-120,2,TPX2
4.02071116322606e-123,0.403807477264135,0.754,0.33,8.76112962466958e-119,2,CENPA
3.01862718429229e-117,0.419383996536459,1,0.95,6.5775886345729e-113,2,HMGB2
2.71492410634841e-114,0.460794703853308,0.97,0.713,5.91581962773318e-110,2,KIF20B
1.07694423331588e-110,0.534732778379899,0.87,0.542,2.34666148439531e-106,2,AURKA
1.34516864586539e-110,0.435469078133452,0.982,0.748,2.9311224793407e-106,2,BIRC5
2.06194447990126e-108,0.528978717109488,0.988,0.808,4.49297702170485e-104,2,UBE2S
2.43505403429483e-108,0.423641439523617,0.904,0.569,5.30598274072843e-104,2,NUF2
1.54225717527311e-105,0.328224973984786,0.648,0.265,3.3605783849201e-101,2,KIF14
2.08357863999517e-104,0.46306164292116,0.903,0.612,4.54011785654948e-100,2,SGO2
3.84419024785709e-93,0.367851326826624,0.819,0.477,8.3764905500806e-89,2,BUB1
1.80087860892594e-92,0.269638608638661,0.573,0.218,3.92411448884963e-88,2,NEK2
1.13469707568069e-91,0.481003788637987,0.969,0.784,2.47250492790822e-87,2,TUBB4B
