# Individual Exhaustion data: Fig S4D
Domain Name,Exhaution Marker,Mean Fluorescence Intensity,"Mean Fluorescence Intensity, SEM",Experiment Day,Donor Name
TNR8,LAG3,758.244720413718,3.97686387096003,33,2
zeta,LAG3,,,24,1
zeta,LAG3,,,33,1
zeta,LAG3,795.41660305796,6.52441632937265,6,1
zeta,LAG3,1494.76745602045,19.8138042235156,15,1
zeta,LAG3,655.051232141826,5.25119571682121,6,2
zeta,LAG3,1559.30570933522,5.65280494678305,15,2
zeta,LAG3,,,24,2
zeta,LAG3,,,33,2
41BB,PD1,1255.0906105596,3.99300432077774,33,1
41BB,PD1,1291.25090375898,4.16063338760457,6,1
41BB,PD1,1220.61564763689,4.55968600205278,15,1
41BB,PD1,1475.2737938526,4.61888928487623,24,1
41BB,PD1,1227.86363631689,3.73510612352147,6,2
41BB,PD1,1283.80742190599,3.67975770093986,15,2
41BB,PD1,1354.69757905247,3.84141880213505,24,2
41BB,PD1,1496.86859729588,2.90618715548932,33,2
BAFF-R,PD1,,,33,1
BAFF-R,PD1,1060.80577762486,4.71526596204889,6,1
BAFF-R,PD1,1225.75994627021,4.83301440647805,15,1
BAFF-R,PD1,1434.12446164317,4.48147924587859,24,1
BAFF-R,PD1,1079.80708051582,4.06622946846233,6,2
BAFF-R,PD1,1159.66552115219,3.99528075506392,15,2
BAFF-R,PD1,1311.82659050342,3.59055819868103,24,2
BAFF-R,PD1,1292.37849490537,3.41764400705198,33,2
CD28,PD1,1184.26901833203,5.37929790653942,6,1
CD28,PD1,1338.94486461797,4.36840389224896,15,1
CD28,PD1,1403.93985296354,5.39846830292807,24,1
CD28,PD1,1536.69125464701,4.2215143228126,33,1
CD28,PD1,1224.87708220336,4.74259741000246,6,2
CD28,PD1,1482.13874499768,3.52843350427135,15,2
CD28,PD1,1417.21294025066,4.0844793641097,24,2
CD28,PD1,1482.29863933854,3.99098003754115,33,2
CD40,PD1,1013.42678851864,4.59605697096742,6,1
CD40,PD1,1128.56389753364,4.3240988817402,15,1
CD40,PD1,1238.11159175904,5.01695635412379,24,1
CD40,PD1,1322.52424460575,4.33075593813176,33,1
CD40,PD1,1060.06979058003,3.96765355070395,6,2
CD40,PD1,1181.97299157625,4.00634630656764,15,2
CD40,PD1,1184.17608820973,4.2309459222625,24,2
CD40,PD1,1320.0753919022,3.36466158343171,33,2
KLRG1,PD1,,,33,1
KLRG1,PD1,1061.46406903419,4.93722159635202,6,1
KLRG1,PD1,1247.07619408153,4.79254372400583,15,1
KLRG1,PD1,1330.77028517537,5.65306340942674,24,1
