# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measurement,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation,Mean MFI Measurement relative to Donor/day/k562 mean,SD of MFI Measurement relative to Donor/day/k562 mean
TNR8,d24,ctv2_t,2,CD8,cd19+,1546.92245878765,437.023441477316,85.5839040908336,93.7929488125757
TNR8,d33,ctv2_t,2,CD8,cd19+,2076.68403958892,354.798457435159,314.285777409593,0.834344035709105
TNR8,d3,ctv2_t,2,CD8,cd19+,1749.66632105647,423.953315857758,-88.1434919313096,120.476260160635
zeta,d14,ctv2_t,1,CD8,cd19+,1633.00880201037,479.625006267656,160.090672355967,45.7375392558499
zeta,d3,ctv2_t,1,CD8,cd19+,2146.14587962363,341.311666279971,51.2465351899523,81.2578810500551
zeta,d14,ctv2_t,2,CD8,cd19+,1683.48789863019,433.946001049196,160.090672355967,45.7375392558499
zeta,d3,ctv2_t,2,CD8,cd19+,1916.78792999397,298.543147265177,51.2465351899523,81.2578810500551
41BB,d14,ctv2_t,1,CD4,cd19+,1818.5469247341,427.744618919573,1.21319459113056,133.094314567512
41BB,d24,ctv2_t,1,CD4,cd19+,2664.66111924223,282.138859605298,-26.0906826731653,9.04139971430582
41BB,d3,ctv2_t,1,CD4,cd19+,2897.492378135,454.698640528527,121.570566960272,271.023571860298
41BB,d33,ctv2_t,1,CD4,cd19+,1758.10245386892,441.933661378346,-150.600372308761,115.510132164628
41BB,d14,ctv2_t,2,CD4,cd19+,1972.26968706842,462.122204987001,1.21319459113056,133.094314567512
41BB,d24,ctv2_t,2,CD4,cd19+,2524.70590539134,241.90896422436,-26.0906826731653,9.04139971430582
41BB,d3,ctv2_t,2,CD4,cd19+,2587.57131494076,260.602712714357,121.570566960272,271.023571860298
41BB,d33,ctv2_t,2,CD4,cd19+,1675.47864562401,416.467734193093,-150.600372308761,115.510132164628
BAFF-R,d14,ctv2_t,1,CD4,cd19+,1862.20028116536,452.738672649135,-73.6331718993791,34.4896007259171
BAFF-R,d24,ctv2_t,1,CD4,cd19+,2839.18532929886,247.508751338939,-0.983360327480113,202.265989334093
BAFF-R,d3,ctv2_t,1,CD4,cd19+,2886.32856727702,342.376138952292,322.22553477658,28.5334177061778
BAFF-R,d14,ctv2_t,2,CD4,cd19+,1778.92359765614,545.253223323305,-73.6331718993791,34.4896007259171
BAFF-R,d24,ctv2_t,2,CD4,cd19+,2400.39634002608,279.741981461464,-0.983360327480113,202.265989334093
BAFF-R,d3,ctv2_t,2,CD4,cd19+,3000.04506143135,208.102955341498,322.22553477658,28.5334177061778
BAFF-R,d33,ctv2_t,2,CD4,cd19+,1723.89407637902,424.987477098069,-183.862939303115,
CD28,d14,ctv2_t,1,CD4,cd19+,2083.65431434909,414.418943278887,234.037702776183,87.4394258168143
CD28,d24,ctv2_t,1,CD4,cd19+,2691.25651517022,324.168931481176,26.5999281824036,45.9456065779286
CD28,d3,ctv2_t,1,CD4,cd19+,2345.055163816,275.422923814274,25.3253614569546,374.129354053065
CD28,d14,ctv2_t,2,CD4,cd19+,2172.81131382354,441.277561616182,234.037702776183,87.4394258168143
CD28,d24,ctv2_t,2,CD4,cd19+,2603.49173117449,296.156550160669,26.5999281824036,45.9456065779286
CD28,d3,ctv2_t,2,CD4,cd19+,2947.51811825313,186.153551639068,25.3253614569546,374.129354053065
CD28,d33,ctv2_t,2,CD4,cd19+,2070.35477491948,352.079366815225,162.59775923735,
CD40,d14,ctv2_t,1,CD4,cd19+,1805.80965228283,502.505071308273,-234.919919138991,182.83511394679
CD40,d24,ctv2_t,1,CD4,cd19+,2496.61370548695,312.717971664835,-108.010637664783,130.844019990597
CD40,d3,ctv2_t,1,CD4,cd19+,2351.78364118324,314.385980131546,44.6438863257799,391.934369980731
CD40,d33,ctv2_t,1,CD4,cd19+,1641.06092114816,431.430648421281,-72.6746423106463,160.215214991156
CD40,d14,ctv2_t,2,CD4,cd19+,1512.74073205945,487.186548042564,-234.919919138991,182.83511394679
CD40,d24,ctv2_t,2,CD4,cd19+,2528.91340916338,284.467814299088,-108.010637664783,130.844019990597
CD40,d3,ctv2_t,2,CD4,cd19+,2979.42669062354,246.644237487677,44.6438863257799,391.934369980731
CD40,d33,ctv2_t,2,CD4,cd19+,1948.37163834099,405.928915433266,-72.6746423106463,160.215214991156
KLRG1,d14,ctv2_t,1,CD4,cd19+,2504.96597395354,436.754569885355,322.22553477658,27.1344612723924
KLRG1,d24,ctv2_t,1,CD4,cd19+,2977.96119398479,229.404428956516,322.22553477658,67.6595439515837
KLRG1,d3,ctv2_t,1,CD4,cd19+,2742.19028854002,327.769674606315,127.710083857249,42.7106624280683
KLRG1,d33,ctv2_t,1,CD4,cd19+,2410.36238407234,305.249027215384,322.22553477658,191.335051696413
KLRG1,d14,ctv2_t,2,CD4,cd19+,2508.83887469084,427.134191235621,322.22553477658,27.1344612723924
KLRG1,d24,ctv2_t,2,CD4,cd19+,2920.90455471541,223.345644884219,322.22553477658,67.6595439515837
KLRG1,d3,ctv2_t,2,CD4,cd19+,2755.1524383297,158.789956374035,127.710083857249,42.7106624280683
KLRG1,d33,ctv2_t,2,CD4,cd19+,2220.50594625973,489.748811883161,322.22553477658,191.335051696413
TACI,d14,ctv2_t,1,CD4,cd19+,1923.79204412326,452.085938450095,109.178332353987,136.941001441491
TACI,d24,ctv2_t,1,CD4,cd19+,2787.20976136148,304.711760710488,61.0681012796358,41.0074176751523
TACI,d3,ctv2_t,1,CD4,cd19+,2956.71814427573,372.18726900511,-8.8190409934075,539.180205539061
TACI,d33,ctv2_t,1,CD4,cd19+,1914.3556644644,522.584373871421,95.6476427297371,11.7617408218007
TACI,d14,ctv2_t,2,CD4,cd19+,2082.95484320497,487.299272428369,109.178332353987,136.941001441491
TACI,d24,ctv2_t,2,CD4,cd19+,2576.47483117769,309.036949543265,61.0681012796358,41.0074176751523
TACI,d3,ctv2_t,2,CD4,cd19+,2267.56633289267,286.948631629964,-8.8190409934075,539.180205539061
TACI,d33,ctv2_t,2,CD4,cd19+,2011.72146510552,389.96478351036,95.6476427297371,11.7617408218007
TNR8,d14,ctv2_t,1,CD4,cd19+,1850.51341066013,491.410172342857,-91.7606754028514,43.5980312622983
TNR8,d24,ctv2_t,1,CD4,cd19+,2579.96095999702,265.249971150159,-30.2915839884965,122.884542039704
TNR8,d3,ctv2_t,1,CD4,cd19+,2358.33548401755,324.848703243902,-234.90929479129,12.6792351543887
TNR8,d33,ctv2_t,1,CD4,cd19+,1769.12460404039,430.909925881798,40.3526984919279,138.95061607949
TNR8,d14,ctv2_t,2,CD4,cd19+,1754.35546115442,529.346454521018,-91.7606754028514,43.5980312622983
TNR8,d24,ctv2_t,2,CD4,cd19+,2601.00426200589,273.722209360999,-30.2915839884965,122.884542039704
TNR8,d3,ctv2_t,2,CD4,cd19+,2413.76848555509,347.234152303004,-234.90929479129,12.6792351543887
TNR8,d33,ctv2_t,2,CD4,cd19+,2046.36263705392,375.169845964723,40.3526984919279,138.95061607949
zeta,d14,ctv2_t,1,CD4,cd19+,2035.60273026244,486.778209026606,55.8845367199214,96.5519958908123
zeta,d24,ctv2_t,1,CD4,cd19+,2821.12786819681,231.11767966176,77.7082351918853,65.4421613132886
zeta,d3,ctv2_t,1,CD4,cd19+,2294.24106085183,295.552126233218,-270.03701373489,28.2858708137756
zeta,d33,ctv2_t,1,CD4,cd19+,2052.48049861971,471.11234775093,97.907263430625,180.380686700164
zeta,d14,ctv2_t,2,CD4,cd19+,1864.55656579766,509.002154055701,55.8845367199214,96.5519958908123
zeta,d24,ctv2_t,2,CD4,cd19+,2575.83699216686,329.860012643199,77.7082351918853,65.4421613132886
zeta,d3,ctv2_t,2,CD4,cd19+,2407.6074708336,303.959876100123,-270.03701373489,28.2858708137756
