# abund_4v8 data: Fig 2D
Domain Name,Cytokine Sort Group (IL2/IFNg/both),Mean Log2 fold change for CD4/CD8,CD4 log2 fold change,CD8 log2 fold change
CD40,"Relative Expansion,
(d0-d24)",1.53530536388007,2.59008278968725,0.480527938072887
CD7,"Initial Proliferation
(d0-d3/d4)",0.841944366425017,0.544102374352825,1.13978635849721
CD7,"Relative Expansion
(d0-d16)",-0.244624971076858,-0.446982550578894,-0.0422673915748214
CD7,"Relative Expansion,
(d0-d24)",-0.563517431941083,-0.850065362568597,-0.276969501313569
CD72,"Initial Proliferation
(d0-d3/d4)",-1.44452990223728,-1.28367006211495,-1.60538974235962
CD72,"Relative Expansion
(d0-d16)",0.0974713294530266,0.319973990476596,-0.125031331570542
CD72,"Relative Expansion,
(d0-d24)",0.518992689979224,1.14428537281059,-0.106299992852145
CD96,"Initial Proliferation
(d0-d3/d4)",-0.0464600660879181,0.0546193307312749,-0.147539462907111
CD96,"Relative Expansion
(d0-d16)",-0.410243853193872,0.00887127003738747,-0.829358976425132
CD96,"Relative Expansion,
(d0-d24)",-0.707828045358918,-0.0215548965945189,-1.39410119412332
CRACC,"Initial Proliferation
(d0-d3/d4)",0.0365280312057803,-0.0212557708275199,0.0943118332390805
CRACC,"Relative Expansion
(d0-d16)",-0.0331704796637924,-0.0185318794577912,-0.0478090798697937
CRACC,"Relative Expansion,
(d0-d24)",0.0502224309075068,-0.0221917828896953,0.122636644704709
CRTAM,"Initial Proliferation
(d0-d3/d4)",0.224873411929239,0.204279160964398,0.245467662894079
CRTAM,"Relative Expansion
(d0-d16)",0.394234611399877,0.736119171261223,0.0523500515385305
CRTAM,"Relative Expansion,
(d0-d24)",0.315108375547779,0.368622933548683,0.261593817546875
CTLA4,"Initial Proliferation
(d0-d3/d4)",0.648272235983723,0.187192974193499,1.10935149777395
CTLA4,"Relative Expansion
(d0-d16)",0.00020667269896746,-0.000957675690863415,0.00137102108879833
CTLA4,"Relative Expansion,
(d0-d24)",-0.364507502039233,-0.426771991553778,-0.302243012524688
CXADR,"Initial Proliferation
(d0-d3/d4)",0.0954511140893314,0.216447081159731,-0.0255448529810686
CXADR,"Relative Expansion
(d0-d16)",0.24290916349224,0.159075163785126,0.326743163199354
CXADR,"Relative Expansion,
(d0-d24)",0.409181131779029,0.270352630455377,0.548009633102682
DC-SIGN,"Initial Proliferation
(d0-d3/d4)",-0.290536415944823,-0.68918125232429,0.108108420434645
