# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
DC-SIGN,CTV1,CD8,pos,-0.558732175297252,AB.D,0.100067957020609
GITR,CTV1,CD8,pos,-0.157074095614346,AB.D,0.612362139269249
TIM1,CTV1,CD8,pos,-1.31834206561466,AB.D,9.32116271164758e-05
HAVCR2,CTV1,CD8,pos,-0.079490220494175,AB.D,0.541960422456272
ICOS,CTV1,CD8,pos,0.116423520375031,AB.D,0.877878364471511
ILT2,CTV1,CD8,pos,-1.09353133893451,AB.D,0.0533121146345401
ILT3,CTV1,CD8,pos,-1.52942378925272,AB.D,0.00645140264930914
ILT4,CTV1,CD8,pos,-0.245881716327941,AB.D,0.412027712172197
KIR2DL1,CTV1,CD8,pos,0.163088391359889,AB.D,0.638825860239149
KIR3DL1,CTV1,CD8,pos,-0.682429594749342,AB.D,0.010220628185323
KLRG1,CTV1,CD8,pos,-1.73635886577442,AB.D,7.26564988419346e-05
LAG3,CTV1,CD8,pos,0.157010633239052,AB.D,0.78304902165792
LAIR1,CTV1,CD8,pos,-1.47460601582342,AB.D,4.75616030130484e-07
NKG2D,CTV1,CD8,pos,-0.574667740698951,AB.D,0.0671718339542134
NKR-P1A,CTV1,CD8,pos,-1.64956357584754,AB.D,5.81597726531541e-08
NTB-A,CTV1,CD8,pos,1.66072400035921,AB.D,9.37623571883608e-06
PD1,CTV1,CD8,pos,0.935510777944839,AB.D,0.00081758978688038
Siglec-3,CTV1,CD8,pos,0.358901780037195,AB.D,0.21057915202705
TACI,CTV1,CD8,pos,2.08409448552887,AB.D,1.8261613479371e-14
TIGIT,CTV1,CD8,pos,0.753879419043235,AB.D,0.00414579495973854
TLT-1,CTV1,CD8,pos,1.48884498182703,AB.D,0.000100009551727203
CD30,CTV1,CD8,pos,0.0728935759917562,AB.D,0.964972201838806
4-1BB,CTV2,CD8,pos,2.122140172155,AB.D,0.00404760086750596
BAFF-R,CTV2,CD8,pos,1.73830584173782,AB.D,0.00120487140089012
BCMA,CTV2,CD8,pos,-0.21383751074551,AB.D,0.812859449200018
BTLA,CTV2,CD8,pos,-0.522253584635009,AB.D,0.410643760507573
CD2,CTV2,CD8,pos,1.33675891237613,AB.D,0.0199682882168396
CD200R,CTV2,CD8,pos,0.12307267840472,AB.D,0.775742526071919
CD244,CTV2,CD8,pos,0.0754561782599071,AB.D,0.812859449200018
CD28,CTV2,CD8,pos,1.62193186708882,AB.D,0.0136843218375791
CD300a,CTV2,CD8,pos,-0.429203343950243,AB.D,0.499625759633607
CD300f,CTV2,CD8,pos,-1.35342649631381,AB.D,0.0274647487456026
CD40,CTV2,CD8,pos,1.39142074780097,AB.D,0.0136843218375791
CD7,CTV2,CD8,pos,0.830960691475708,AB.D,0.169779859730199
CD72,CTV2,CD8,pos,-0.0780779487379001,AB.D,0.995898963395951
CD96,CTV2,CD8,pos,-0.790467913459197,AB.D,0.212388454781637
CRACC,CTV2,CD8,pos,-0.0570427406733554,AB.D,0.998060963161283
CRTAM,CTV2,CD8,pos,-0.0522003200241192,AB.D,0.998060963161283
CTLA4,CTV2,CD8,pos,1.46118354169985,AB.D,0.0274647487456026
CXADR,CTV2,CD8,pos,-0.522404002219678,AB.D,0.388875611407864
DC-SIGN,CTV2,CD8,pos,-0.650554948601911,AB.D,0.323004722805693
GITR,CTV2,CD8,pos,0.152163861656233,AB.D,0.740367440252405
TIM1,CTV2,CD8,pos,-0.65354678326414,AB.D,0.311533559617708
HAVCR2,CTV2,CD8,pos,-0.737998672666328,AB.D,0.237196024012215
ICOS,CTV2,CD8,pos,-0.696611701478142,AB.D,0.29510964398237
ILT2,CTV2,CD8,pos,-0.228716157115184,AB.D,0.764060566509079
ILT3,CTV2,CD8,pos,-0.188515123119183,AB.D,0.812859449200018
ILT4,CTV2,CD8,pos,-0.353651123422489,AB.D,0.605372515727952
KIR2DL1,CTV2,CD8,pos,-1.01395224944715,AB.D,0.0684183466568003
KIR3DL1,CTV2,CD8,pos,-0.0936054816281496,AB.D,0.986456667630305
KLRG1,CTV2,CD8,pos,-2.87969094422766,AB.D,0.00404760086750596
LAG3,CTV2,CD8,pos,-0.602743731606489,AB.D,0.342702465498858
LAIR1,CTV2,CD8,pos,0.238183744406596,AB.D,0.605372515727952
NKG2D,CTV2,CD8,pos,-0.5361012649352,AB.D,0.388875611407864
NKR-P1A,CTV2,CD8,pos,-0.425773689939494,AB.D,0.500747826564116
NTB-A,CTV2,CD8,pos,1.29373646207946,AB.D,0.0136843218375791
PD1,CTV2,CD8,pos,-0.835552448847776,AB.D,0.226056528083409
Siglec-3,CTV2,CD8,pos,-0.263990419162082,AB.D,0.740367440252405
TACI,CTV2,CD8,pos,1.55313842809819,AB.D,0.0136843218375791
TIGIT,CTV2,CD8,pos,-0.423252933224541,AB.D,0.470778407940918
TLT-1,CTV2,CD8,pos,-0.516781315452919,AB.D,0.423857990000157
CD30,CTV2,CD8,pos,1.18149972165826,AB.D,0.0684183466568003
4-1BB,IL2,CD4,pos,3.34972137819706,pct_pos,0.000808928851607973
4-1BB,IFNy,CD4,pos,1.34216783038758,pct_pos,0.179541584572831
4-1BB,IL2,CD8,pos,1.9751238620767,pct_pos,0.0482540935113307
4-1BB,IFNy,CD8,pos,0.365632547284047,pct_pos,0.714639285099916
BAFF-R,IL2,CD4,pos,2.10963235083011,pct_pos,0.0348900355614804
BAFF-R,IFNy,CD4,pos,2.25592332994478,pct_pos,0.0240754331600255
BAFF-R,IL2,CD8,pos,1.33990587239017,pct_pos,0.18027594869649
BAFF-R,IFNy,CD8,pos,2.2205119578989,pct_pos,0.0263840348738453
BCMA,IL2,CD4,pos,-0.057724778876771,pct_pos,0.953967855912522
BCMA,IFNy,CD4,pos,0.684021836144622,pct_pos,0.493961377228356
BCMA,IL2,CD8,pos,-0.0507071927959894,pct_pos,0.959558845002325
BCMA,IFNy,CD8,pos,0.122316316126124,pct_pos,0.902648510623698
BTLA,IL2,CD4,pos,-1.61703826269475,pct_pos,0.105870021867503
BTLA,IFNy,CD4,pos,-0.575180929314127,pct_pos,0.565168939070687
BTLA,IL2,CD8,pos,-1.66223685678612,pct_pos,0.096465292728924
BTLA,IFNy,CD8,pos,-0.419479693803668,pct_pos,0.674865592077098
CD2,IL2,CD8,pos,0.558371416070991,pct_pos,0.576590787290009
CD2,IFNy,CD8,pos,2.13970059892676,pct_pos,0.0323789706271012
CD200R,IL2,CD4,pos,0.124064510588569,pct_pos,0.901264197464691
CD200R,IFNy,CD4,pos,0.545770025461618,pct_pos,0.58522402998046
CD200R,IL2,CD8,pos,0.263977065546436,pct_pos,0.791797591148991
CD200R,IFNy,CD8,pos,0.463568561868778,pct_pos,0.642956882720058
CD244,IL2,CD4,pos,-0.58668319012345,pct_pos,0.557416499521821
CD244,IFNy,CD4,pos,0.562978726088401,pct_pos,0.573449370360303
CD28,IL2,CD4,pos,3.61496227975955,pct_pos,0.000300391355266583
CD28,IFNy,CD4,pos,1.97483269728597,pct_pos,0.0482871371295535
CD28,IL2,CD8,pos,3.40757180248483,pct_pos,0.000655436613726028
CD28,IFNy,CD8,pos,2.28752751909053,pct_pos,0.0221650510694799
