# Differentiation Arrayed Data: Fig S4H
Domain Name,Measurement Day,Differentiation Status,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation
CD28,15,TEMRA,1,cd8,cd19+,0.179466666666667,0.045707475683233
CD40,15,Naive,1,cd8,cd19+,0.118,
CD40,15,TCM,1,cd8,cd19+,0.2084,
CD40,15,TEM,1,cd8,cd19+,0.4184,
CD40,15,TEMRA,1,cd8,cd19+,0.2552,
KLRG1,15,Naive,1,cd8,cd19+,0.074,0.0101823376490863
KLRG1,15,TCM,1,cd8,cd19+,0.041,0.00537401153701776
KLRG1,15,TEM,1,cd8,cd19+,0.6236,0.014142135623731
KLRG1,15,TEMRA,1,cd8,cd19+,0.2614,0.0014142135623731
TACI,15,Naive,1,cd8,cd19+,0.426436665102456,0.0504749026024461
TACI,15,TCM,1,cd8,cd19+,0.101935304239011,0.0152995290144863
TACI,15,TEM,1,cd8,cd19+,0.0948397935241671,0.0375473540116564
TACI,15,TEMRA,1,cd8,cd19+,0.376788237134366,0.0102095897303691
TNR8,15,Naive,1,cd8,cd19+,0.102,0
TNR8,15,TCM,1,cd8,cd19+,0.0816,0.00678822509939086
TNR8,15,TEM,1,cd8,cd19+,0.3956,0.00791959594928932
TNR8,15,TEMRA,1,cd8,cd19+,0.4208,0.0147078210486802
zeta,15,Naive,1,cd8,cd19+,0.506049506049506,0.031003127824252
zeta,15,TCM,1,cd8,cd19+,0.0799385799385799,0.0141541705931817
zeta,15,TEM,1,cd8,cd19+,0.0573084323084323,0.00687432222432254
zeta,15,TEMRA,1,cd8,cd19+,0.356703481703482,0.00997463500674777
41BB,24,Naive,1,cd4,cd19+,0.1684,0.123239604024031
41BB,24,TCM,1,cd4,cd19+,0.12216,0.0247363699842964
41BB,24,TEM,1,cd4,cd19+,0.39048,0.275645917800355
41BB,24,TEMRA,1,cd4,cd19+,0.31896,0.130214776427255
BAFF-R,24,Naive,1,cd4,cd19+,0.17688,0.154696451155157
BAFF-R,24,TCM,1,cd4,cd19+,0.10576,0.0272684432999025
BAFF-R,24,TEM,1,cd4,cd19+,0.50264,0.307849391748628
BAFF-R,24,TEMRA,1,cd4,cd19+,0.21472,0.12683072183032
CD28,24,Naive,1,cd4,cd19+,0.36112,0.272823078202706
CD28,24,TCM,1,cd4,cd19+,0.19512,0.0505516765300618
CD28,24,TEM,1,cd4,cd19+,0.2864,0.235400934577584
CD28,24,TEMRA,1,cd4,cd19+,0.15736,0.0184707336075208
CD40,24,Naive,1,cd4,cd19+,0.10952,0.084487821607614
CD40,24,TCM,1,cd4,cd19+,0.14416,0.0490718656665915
CD40,24,TEM,1,cd4,cd19+,0.53648,0.233383529838761
CD40,24,TEMRA,1,cd4,cd19+,0.20984,0.100605606205619
KLRG1,24,Naive,1,cd4,cd19+,0.29064,0.220303899193818
KLRG1,24,TCM,1,cd4,cd19+,0.1288,0.0314795171500454
KLRG1,24,TEM,1,cd4,cd19+,0.41592,0.335895626646135
KLRG1,24,TEMRA,1,cd4,cd19+,0.16464,0.0850931724640702
TACI,24,Naive,1,cd4,cd19+,0.2981,0.193207970850066
TACI,24,TCM,1,cd4,cd19+,0.0929,0.00358329457343379
TACI,24,TEM,1,cd4,cd19+,0.3383,0.326795410004486
TACI,24,TEMRA,1,cd4,cd19+,0.2707,0.130400971366525
TNR8,24,Naive,1,cd4,cd19+,0.0584,0.0375957444400294
TNR8,24,TCM,1,cd4,cd19+,0.0714,0.0286604954597788
TNR8,24,TEM,1,cd4,cd19+,0.678266666666667,0.142667314640273
TNR8,24,TEMRA,1,cd4,cd19+,0.191933333333333,0.0812149411541169
zeta,24,Naive,1,cd4,cd19+,0.3981,0.261687115973765
zeta,24,TCM,1,cd4,cd19+,0.0884,0.0374650058943899
zeta,24,TEM,1,cd4,cd19+,0.2848,0.316833499912283
zeta,24,TEMRA,1,cd4,cd19+,0.2287,0.0194247265103012
41BB,24,Naive,1,cd8,cd19+,0.1138,0.00311126983722081
41BB,24,TCM,1,cd8,cd19+,0.1034,0.000282842712474617
41BB,24,TEM,1,cd8,cd19+,0.3818,0.00367695526217007
41BB,24,TEMRA,1,cd8,cd19+,0.401,0.00707106781186548
BAFF-R,24,Naive,1,cd8,cd19+,0.1008,0.00169705627484771
BAFF-R,24,TCM,1,cd8,cd19+,0.181,0.00311126983722082
BAFF-R,24,TEM,1,cd8,cd19+,0.5014,0.00763675323681474
BAFF-R,24,TEMRA,1,cd8,cd19+,0.2168,0.00282842712474619
CD28,24,Naive,1,cd8,cd19+,0.098,0.00282842712474619
CD28,24,TCM,1,cd8,cd19+,0.1802,0.0138592929112563
CD28,24,TEM,1,cd8,cd19+,0.4682,0.00650538238691623
CD28,24,TEMRA,1,cd8,cd19+,0.2536,0.00452548339959388
CD40,24,Naive,1,cd8,cd19+,0.0616,0.00169705627484771
CD40,24,TCM,1,cd8,cd19+,0.2254,0.00650538238691625
