# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measured Cytokine,Donor Number,T Cell Type,K562 Condition,Mean percentage of Cytokine-positive cells,Stdev. of percentage of Cytokine-positive cells,Between-donor mean percentage of Cytokine-positive cells
KLRG1,18,IFNg,2,CD4,+,5.41,0.304138126514911,4.44166666666667
KLRG1,18,IFNg,2,CD4,-,2.41333333333333,0.0907377172587745,3.665
TACI,18,IFNg,1,CD4,+,1.63333333333333,0.112398102000582,2.28833333333333
TACI,18,IFNg,1,CD4,-,2.80333333333333,0.160416125540213,3.4
TACI,18,IFNg,2,CD4,+,2.94333333333333,0.094516312525052,2.28833333333333
TACI,18,IFNg,2,CD4,-,3.99666666666667,0.0750555349946513,3.4
TNR8,18,IFNg,1,CD4,+,1.27333333333333,0.07371114795832,5.83666666666667
TNR8,18,IFNg,1,CD4,-,2.05666666666667,0.160104132780305,1.975
TNR8,18,IFNg,2,CD4,+,10.4,0.264575131106459,5.83666666666667
TNR8,18,IFNg,2,CD4,-,1.89333333333333,0.386307304271267,1.975
Zeta,18,IFNg,1,CD4,+,1.90333333333333,0.0923760430703399,2.08666666666667
Zeta,18,IFNg,1,CD4,-,5.20666666666667,1.4628852768872,4.52
Zeta,18,IFNg,2,CD4,+,2.27,0.245560583156174,2.08666666666667
Zeta,18,IFNg,2,CD4,-,3.83333333333333,0.21221058723196,4.52
41BB,18,IL2,1,CD4,+,0.0886666666666667,0.0271538824725551,0.271
41BB,18,IL2,1,CD4,-,0.456666666666667,0.0251661147842358,0.731666666666667
41BB,18,IL2,2,CD4,+,0.453333333333333,0.0680685928555405,0.271
41BB,18,IL2,2,CD4,-,1.00666666666667,0.125830573921179,0.731666666666667
BAFFR,18,IL2,1,CD4,+,0.28,0.00999999999999998,0.271666666666667
BAFFR,18,IL2,1,CD4,-,0.713333333333333,0.0665832811847939,1
BAFFR,18,IL2,2,CD4,+,0.263333333333333,0.055075705472861,0.271666666666667
BAFFR,18,IL2,2,CD4,-,1.28666666666667,0.0493288286231625,1
CD28,18,IL2,1,CD4,+,0.086,0.0122882057274445,0.0963333333333333
CD28,18,IL2,1,CD4,-,0.503333333333333,0.0152752523165195,0.513333333333333
CD28,18,IL2,2,CD4,+,0.106666666666667,0.00577350269189626,0.0963333333333333
CD28,18,IL2,2,CD4,-,0.523333333333333,0.0472581562625261,0.513333333333333
CD40,18,IL2,1,CD4,+,0.103,0.0121243556529821,0.2915
CD40,18,IL2,1,CD4,-,0.493333333333333,0.0550757054728611,0.733333333333333
CD40,18,IL2,2,CD4,+,0.48,0.0264575131106459,0.2915
