"# Domain abundance data: Fig 2C, 3C, S3D"
Domain Name,"Sort Group (Subset, Sort, Donor, Replicate)",Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,CAR abundance relative to baseline,Days of expansion,Adjusted p-value
BAFF-R,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,88934,2.09248642456026,14,1.62805588382237e-06
BAFF-R,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1423971,1.45010649093758,4,1.62805588382237e-06
BAFF-R,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,7847,2.4898350772735,24,1.62805588382237e-06
BAFF-R,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,687983,1.7233006168901,16,1.62805588382237e-06
BAFF-R,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,168368,2.03436412927464,24,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,331861,1.364922312966,4,1.62805588382237e-06
BAFF-R,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,498262,2.09248642456026,14,1.62805588382237e-06
BAFF-R,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1270960,1.45010649093758,4,1.62805588382237e-06
BAFF-R,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,24324,2.4898350772735,24,1.62805588382237e-06
BAFF-R,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,1318836,1.7233006168901,16,1.62805588382237e-06
BAFF-R,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,1238524,2.03436412927464,24,1.62805588382237e-06
CD28,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,61366,1.06432573939263,3,0.550576475542457
CD28,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,247698,1.06432573939263,3,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,20594,1.72695473655838,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,9608,2.40055696328747,24,0.550576475542457
CD28,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,694982,1.06432573939263,3,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,108590,1.72695473655838,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,68455,2.40055696328747,24,0.550576475542457
CD28,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,486438,1.06432573939263,3,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,695906,1.72695473655838,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,225958,2.40055696328747,24,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,9218,1.04470208835423,16,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,120793,1.04470208835423,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,28188,1.14645469209321,24,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,782055,1.04470208835423,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,381486,1.14645469209321,24,0.550576475542457
CD28,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,1324486,1.04470208835423,16,0.550576475542457
CD28,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,1325165,1.14645469209321,24,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,14664,1.1489949834809,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,14664,2.0001391512508,14,0.550576475542457
CD28,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,30082,1.19651496724973,3,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,95426,1.1489949834809,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,95426,2.0001391512508,14,0.550576475542457
CD28,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,117707,1.19651496724973,3,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,136970,1.1489949834809,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,136970,2.0001391512508,14,0.550576475542457
CD28,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,263644,1.19651496724973,3,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,598187,1.1489949834809,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,598187,2.0001391512508,14,0.550576475542457
CD28,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,213141,1.19651496724973,3,0.550576475542457
CD28,prolif1_d2_24d_CTV3_CD4_neg,d2,CD4,neg,5363,2.14754148320891,24,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,93821,1.38442405761298,4,0.550576475542457
CD28,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,6037,1.17321283304348,4,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,250650,1.38442405761298,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,18840,1.61779572745124,14,0.550576475542457
CD28,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,103629,1.17321283304348,4,0.550576475542457
CD28,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,44487,1.07046063876305,16,0.550576475542457
CD28,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,14361,1.13668781985704,24,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,217025,1.38442405761298,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,88934,1.61779572745124,14,0.550576475542457
CD28,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1423971,1.17321283304348,4,0.550576475542457
CD28,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,7847,2.00262064024589,24,0.550576475542457
CD28,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,687983,1.07046063876305,16,0.550576475542457
CD28,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,168368,1.13668781985704,24,0.550576475542457
CD28,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,331861,1.38442405761298,4,0.550576475542457
CD28,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,498262,1.61779572745124,14,0.550576475542457
CD28,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1270960,1.17321283304348,4,0.550576475542457
CD28,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,24324,2.00262064024589,24,0.550576475542457
CD28,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,1318836,1.07046063876305,16,0.550576475542457
CD28,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,1238524,1.13668781985704,24,0.550576475542457
CD40,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,61366,0.888714932659181,3,3.10057910470268e-09
CD40,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,247698,0.888714932659181,3,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,20594,0.948803382577811,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,9608,0.652978275162418,24,3.10057910470268e-09
CD40,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,694982,0.888714932659181,3,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,108590,0.948803382577811,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,68455,0.652978275162418,24,3.10057910470268e-09
CD40,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,486438,0.888714932659181,3,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,695906,0.948803382577811,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,225958,0.652978275162418,24,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,9218,0.917754174604638,16,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,120793,0.917754174604638,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,28188,0.918277630489234,24,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,782055,0.917754174604638,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,381486,0.918277630489234,24,3.10057910470268e-09
CD40,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,1324486,0.917754174604638,16,3.10057910470268e-09
CD40,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,1325165,0.918277630489234,24,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,14664,1.0830113907902,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,14664,0.884168463514347,14,3.10057910470268e-09
CD40,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,30082,0.886035629853159,3,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,95426,1.0830113907902,4,3.10057910470268e-09
CD40,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,95426,0.884168463514347,14,3.10057910470268e-09
CD40,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,117707,0.886035629853159,3,3.10057910470268e-09
CD40,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,136970,1.0830113907902,4,3.10057910470268e-09
