"# Cytokine data: Fig 2B, S2C"
Domain Name,Cytokine Bin,Cytokine Sort Group (IL2/IFNg/both),Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Number of CAR-T cells in bin for this domain,Number of CAR-T cells in bin for this domain,"Number of CAR-T cells in bin for this domain, including double positive cells","Log2 Fold Change, Domain Mean","Log2 Fold Change, Domain/Donor Mean","Log2 Fold Change, Domain/Subset Mean","Sort Group (Subset, Cytokine, Donor, Replicate)",Domain Rank within Sort Group
CD28,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,5197.87783522663,0.122589575259352,0.285040725020767,1.27625301893054,1.20896935968817,0.78676297342041,68_il2.ifng_CD8_pos,2
CD300a,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,1.06582516327489,0.00124865013719538,0.00132647206724044,-3.17442059670105,-2.44346743154303,-1.81299187764155,67_il2.ifng_CD4_pos,32
CD300a,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,0.0791407472550211,9.27160554307915e-05,0.000170537985475843,-7.56185902966839,-3.94821506637521,-2.22233391856726,67_il2.ifng_CD4_pos,32
CD300a,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,0.518623648458322,0.000547846830258265,0.0167999631980074,-1.712514266385,-2.44346743154303,-1.81299187764155,67_il2.ifng_CD8_pos,29
CD300a,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,126.159027645549,0.133267782156743,0.149519898524493,-0.334571103082032,-3.94821506637521,-2.22233391856726,67_il2.ifng_CD8_pos,23
CD300a,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,1.81637240211089,0.000951792829103616,0.000951792829103616,-2.72758261952923,-1.83996067176567,-1.81299187764155,68_il2.ifng_CD4_pos,34
CD300a,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,14.0059794015717,0.00733923877256482,0.00733923877256482,-1.77052209729189,-1.15076533218168,-2.22233391856726,68_il2.ifng_CD4_pos,31
CD300a,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,11.4477056042784,0.0205902935002878,0.0263776788384943,-0.952338724002101,-1.83996067176567,-1.81299187764155,68_il2.ifng_CD8_pos,17
CD300a,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,42.0640701463059,0.0756580908060244,0.0814454761442309,-0.53100856707148,-1.15076533218168,-2.22233391856726,68_il2.ifng_CD8_pos,23
CD300f,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,6.36614489415544,0.0018710365925049,0.00814126590685966,-0.556761752029994,-0.373827728649911,-0.772268821395895,67_il2.ifng_CD4_pos,9
